,name,label,description,link
9610,SAN_HUGH20221117_C2_S1,TerraUSD / USD,,https://www.bankofcanada.ca/valet/series/SAN_HUGH20221117_C2_S1
9611,SAN_HUGH20221117_C3_S1,Fiat-referenced cryptoasset market cap (right scale),,https://www.bankofcanada.ca/valet/series/SAN_HUGH20221117_C3_S1
9612,SAN_HUGH20221117_C3_S2,Fiat-referenced cryptoasset market cap / Canadian demand deposit ratio (left scale),,https://www.bankofcanada.ca/valet/series/SAN_HUGH20221117_C3_S2
9613,SAN_HUGH20221117_C3_S3,Fiat-referenced cryptoasset market cap / SPTSX60 market cap ratio (left scale),,https://www.bankofcanada.ca/valet/series/SAN_HUGH20221117_C3_S3
9614,SAN_HUGH20221117_C4_S1,Bitcoin (unbacked cryptoasset),,https://www.bankofcanada.ca/valet/series/SAN_HUGH20221117_C4_S1
9615,SAN_HUGH20221117_C4_S2,ETH (unbacked cryptoasset),,https://www.bankofcanada.ca/valet/series/SAN_HUGH20221117_C4_S2
9616,SAN_HUGH20221117_C4_S3,Other unbacked cryptoassets,,https://www.bankofcanada.ca/valet/series/SAN_HUGH20221117_C4_S3
9617,SAN_HUGH20221117_C4_S4,Tether (fiat-referenced cryptoasset),,https://www.bankofcanada.ca/valet/series/SAN_HUGH20221117_C4_S4
9618,SAN_HUGH20221117_C4_S5,USD Coin (fiat-referenced cryptoasset),,https://www.bankofcanada.ca/valet/series/SAN_HUGH20221117_C4_S5
9619,SAN_HUGH20221117_C4_S6,Binance USD (fiat-referenced cryptoasset),,https://www.bankofcanada.ca/valet/series/SAN_HUGH20221117_C4_S6
9620,SAN_HUGH20221117_C5_S1,Tether,,https://www.bankofcanada.ca/valet/series/SAN_HUGH20221117_C5_S1
9621,SAN_HUGH20221117_C5_S2,USD Coin,,https://www.bankofcanada.ca/valet/series/SAN_HUGH20221117_C5_S2
9622,SAN_HUGH20221117_C5_S3,Binance USD,,https://www.bankofcanada.ca/valet/series/SAN_HUGH20221117_C5_S3
9623,BOS_2022Q4_C10_S1,Input prices will increase significantly,,https://www.bankofcanada.ca/valet/series/BOS_2022Q4_C10_S1
9624,BOS_2022Q4_C10_S2,Output prices will increase significantly,,https://www.bankofcanada.ca/valet/series/BOS_2022Q4_C10_S2
